,edit_count,sentiment,neg_sentiment
2020-01-14,0.03333333333333333,-0.025018193324406933,0.03333333333333333
2020-01-15,0.03333333333333333,-0.025018193324406933,0.03333333333333333
2020-01-16,0.03333333333333333,-0.025018193324406933,0.03333333333333333
2020-01-17,0.03333333333333333,-0.025018193324406933,0.03333333333333333
2020-01-18,0.03333333333333333,-0.025018193324406933,0.03333333333333333
2020-01-19,0.03333333333333333,-0.025018193324406933,0.03333333333333333
2020-01-20,0.03333333333333333,-0.025018193324406933,0.03333333333333333
2020-01-21,0.03333333333333333,-0.025018193324406933,0.03333333333333333
2020-01-22,0.06666666666666667,-0.058328177531560256,0.06666666666666667
2020-01-23,0.13333333333333333,-0.08990703622500101,0.13333333333333333
2020-01-24,0.13333333333333333,-0.08990703622500101,0.13333333333333333
2020-01-25,0.13333333333333333,-0.08990703622500101,0.13333333333333333
2020-01-26,0.5333333333333333,-0.05796213837770314,0.26666666666666666
2020-01-27,0.5666666666666667,-0.08039398483740977,0.3
2020-01-28,0.5666666666666667,-0.08039398483740977,0.3
2020-01-29,0.5666666666666667,-0.08039398483740977,0.3
2020-01-30,0.5666666666666667,-0.08039398483740977,0.3
2020-01-31,0.5666666666666667,-0.08039398483740977,0.3
2020-02-01,0.5666666666666667,-0.08039398483740977,0.3
2020-02-02,0.6,-0.04719175589390289,0.3
2020-02-03,0.7333333333333333,-0.04981006674277476,0.36666666666666664
2020-02-04,0.7333333333333333,-0.04981006674277476,0.36666666666666664
2020-02-05,0.8,-0.049786497079409076,0.4
2020-02-06,0.8,-0.049786497079409076,0.4
2020-02-07,0.8,-0.049786497079409076,0.4
2020-02-08,0.8,-0.049786497079409076,0.4
2020-02-09,0.8,-0.049786497079409076,0.4
2020-02-10,0.8,-0.049786497079409076,0.4
2020-02-11,0.8,-0.049786497079409076,0.4
2020-02-12,0.8,-0.049786497079409076,0.4
2020-02-13,0.8,-0.049786497079409076,0.4
2020-02-14,0.8,-0.049786497079409076,0.4
2020-02-15,0.8,-0.049786497079409076,0.4
2020-02-16,0.8,-0.049786497079409076,0.4
2020-02-17,0.8,-0.049786497079409076,0.4
2020-02-18,0.8,-0.049786497079409076,0.4
2020-02-19,0.8,-0.049786497079409076,0.4
2020-02-20,0.8,-0.049786497079409076,0.4
2020-02-21,0.8,-0.04975360723642201,0.4
2020-02-22,0.7333333333333333,-0.018174748542981265,0.3333333333333333
2020-02-23,0.7333333333333333,-0.018174748542981265,0.3333333333333333
2020-02-24,0.7333333333333333,-0.018174748542981265,0.3333333333333333
2020-02-25,0.3,-0.025101453065872185,0.16666666666666666
2020-02-26,0.26666666666666666,-0.0026696066061655606,0.13333333333333333
2020-02-27,0.36666666666666664,-0.013826161623001092,0.2
2020-02-28,0.36666666666666664,-0.013826161623001092,0.2
2020-02-29,0.36666666666666664,-0.013826161623001092,0.2
2020-03-01,0.36666666666666664,-0.013826161623001092,0.2
2020-03-02,0.36666666666666664,-0.013826161623001092,0.2
